Review Text,Prediction,Error Type
Nest made it so easy to transfer my other pension into my nest one. Was very easy and didn't need to speak to anyone.,transfer my other pension##Fund Management##easy##positive,Hallucination
Nest made it so easy to transfer my other pension into my nest one. Was very easy and didn't need to speak to anyone.,transfer my other pension##Fund Management##very easy##positive,Hallucination
Nest made it so easy to transfer my other pension into my nest one. Was very easy and didn't need to speak to anyone.,speak to anyone##Customer Support##didn't need##positive,Hallucination
Nest made it so easy to transfer my other pension into my nest one. Was very easy and didn't need to speak to anyone.,"transfer##Fund Management##so easy, didn' need to speak to anyone##positive",Undergeneration
"Awful stay away! Take your money out and find another pension company. My mother died and I needed the small amount in my Nest Pension account. They stalled and stalled, changing the goal posts, they talk about security but when you look into this and question it, they contradict their own security policy and breach GDRP. Please stay away from Nest, its all a con!",stay away##Fund Management##awful##negative,Hallucination
"Awful stay away! Take your money out and find another pension company. My mother died and I needed the small amount in my Nest Pension account. They stalled and stalled, changing the goal posts, they talk about security but when you look into this and question it, they contradict their own security policy and breach GDRP. Please stay away from Nest, its all a con!",Nest Pension account##Account & Access##stalled and stalled##negative,Hallucination
"Awful stay away! Take your money out and find another pension company. My mother died and I needed the small amount in my Nest Pension account. They stalled and stalled, changing the goal posts, they talk about security but when you look into this and question it, they contradict their own security policy and breach GDRP. Please stay away from Nest, its all a con!",security policy##Account & Access##contradict##negative,Hallucination
"Awful stay away! Take your money out and find another pension company. My mother died and I needed the small amount in my Nest Pension account. They stalled and stalled, changing the goal posts, they talk about security but when you look into this and question it, they contradict their own security policy and breach GDRP. Please stay away from Nest, its all a con!",Nest##Trust & Reliability##all a con##negative,Hallucination
"Awful stay away! Take your money out and find another pension company. My mother died and I needed the small amount in my Nest Pension account. They stalled and stalled, changing the goal posts, they talk about security but when you look into this and question it, they contradict their own security policy and breach GDRP. Please stay away from Nest, its all a con!",fund withdrawal (implicit)##Fund Management##stalled##negative,Undergeneration
"Awful stay away! Take your money out and find another pension company. My mother died and I needed the small amount in my Nest Pension account. They stalled and stalled, changing the goal posts, they talk about security but when you look into this and question it, they contradict their own security policy and breach GDRP. Please stay away from Nest, its all a con!",GDPR##Trust & Reliability##breach##negative,Undergeneration
I getting information from my personal account any time and easily.Thanks,information##Transparency & Communication##easily##positive,Hallucination
I getting information from my personal account any time and easily.Thanks,getting information##Transparency & Communication##any time and easily##positive,Undergeneration
It was very straight forward you just log in and go to make a one off payment with a card unlike other providers they make it a big lot of hassle of a one off payment with nest you just log in and pay and thats it job done,log in##Account & Access##straight forward##positive,Hallucination
It was very straight forward you just log in and go to make a one off payment with a card unlike other providers they make it a big lot of hassle of a one off payment with nest you just log in and pay and thats it job done,one off payment##Fund Management##big lot of hassle##positive,Wrong Aspect/Opinion
It was very straight forward you just log in and go to make a one off payment with a card unlike other providers they make it a big lot of hassle of a one off payment with nest you just log in and pay and thats it job done,one off payment##Fund Management##big lot of hassle##positive,Wrong Aspect/Opinion
It was very straight forward you just log in and go to make a one off payment with a card unlike other providers they make it a big lot of hassle of a one off payment with nest you just log in and pay and thats it job done,one off payment##Fund Management##just log in and pay##positive,Wrong Aspect/Opinion
It was very straight forward you just log in and go to make a one off payment with a card unlike other providers they make it a big lot of hassle of a one off payment with nest you just log in and pay and thats it job done,job done##Process & Onboarding##done##positive,Hallucination
It was very straight forward you just log in and go to make a one off payment with a card unlike other providers they make it a big lot of hassle of a one off payment with nest you just log in and pay and thats it job done,other providers##Alternative Provider##a big lot of hassle##negative,Undergeneration
It was very straight forward you just log in and go to make a one off payment with a card unlike other providers they make it a big lot of hassle of a one off payment with nest you just log in and pay and thats it job done,"one off payment##Fund Management##very straightforward, just log in and pay##positive",Undergeneration
"The transfer of my 2 existing pension policies was seemless. The company I had my policies with were asking for so much information to cash in and move my existing policies it was quite overwhelming. I found the transition so easy, to move to my nest pension",transfer of my 2 existing pension policies##Fund Management##apparentlyless##positive,Hallucination
"The transfer of my 2 existing pension policies was seemless. The company I had my policies with were asking for so much information to cash in and move my existing policies it was quite overwhelming. I found the transition so easy, to move to my nest pension",information to cash in##Transparency & Communication##very overwhelming##positive,Hallucination
"The transfer of my 2 existing pension policies was seemless. The company I had my policies with were asking for so much information to cash in and move my existing policies it was quite overwhelming. I found the transition so easy, to move to my nest pension",transition##Fund Management##easy##positive,Hallucination
"The transfer of my 2 existing pension policies was seemless. The company I had my policies with were asking for so much information to cash in and move my existing policies it was quite overwhelming. I found the transition so easy, to move to my nest pension",transfer##Fund Management##seemless##positive,Undergeneration
"The transfer of my 2 existing pension policies was seemless. The company I had my policies with were asking for so much information to cash in and move my existing policies it was quite overwhelming. I found the transition so easy, to move to my nest pension",move to my nest pension##Process & Onboarding##so easy##positive,Undergeneration
"The transfer of my 2 existing pension policies was seemless. The company I had my policies with were asking for so much information to cash in and move my existing policies it was quite overwhelming. I found the transition so easy, to move to my nest pension",asking for so much information##Alternative Provider##overwhelming##negative,Undergeneration
"It was easy, but would be better if I could set up a standing order, so I can budget money going into account. So online banking details would be good.",standing order##Process & Onboarding##easy##positive,Wrong Aspect/Opinion
"It was easy, but would be better if I could set up a standing order, so I can budget money going into account. So online banking details would be good.",budget money going into account##Fund Management##better##positive,Hallucination
"It was easy, but would be better if I could set up a standing order, so I can budget money going into account. So online banking details would be good.",online banking details##Account & Access##good##positive,Hallucination
"It was easy, but would be better if I could set up a standing order, so I can budget money going into account. So online banking details would be good.",standing order##Account & Access##would be better##neutral,Undergeneration
"It was easy, but would be better if I could set up a standing order, so I can budget money going into account. So online banking details would be good.",Onboarding (implicit)##Process & Onboarding##easy##positive,Undergeneration
I have found using Nest very easy and am getting a good return on my pension.,using Nest##Website & Usability##very easy##positive,Correct
I have found using Nest very easy and am getting a good return on my pension.,return on my pension##Fund Management##good##positive,Wrong Aspect/Opinion
I have found using Nest very easy and am getting a good return on my pension.,return on my pension##Fund Management##getting a good return##positive,Undergeneration
"Hello all,
 
 I recently transferred my pension from legal and general to nest that I am happy with.
 
 I like nest platform which is easy to operate and looks good.",transferred my pension##Fund Management##happy##positive,Hallucination
"Hello all,
 
 I recently transferred my pension from legal and general to nest that I am happy with.
 
 I like nest platform which is easy to operate and looks good.",nest platform##Website & Usability##easy to operate##positive,Hallucination
"Hello all,
 
 I recently transferred my pension from legal and general to nest that I am happy with.
 
 I like nest platform which is easy to operate and looks good.",nest##Website & Usability##looks good##positive,Hallucination
"Hello all,
 
 I recently transferred my pension from legal and general to nest that I am happy with.
 
 I like nest platform which is easy to operate and looks good.",transferred##Fund Management##happy with##positive,Undergeneration
"Hello all,
 
 I recently transferred my pension from legal and general to nest that I am happy with.
 
 I like nest platform which is easy to operate and looks good.",platform##Website & Usability##easy to operate and looks good##positive,Undergeneration
"I can't see the difference between pension companies, all I wanted is to have all my pension money in current company I'm paying to 😀
 
 I'm not frustrated about pension system, all I said is I want to keep all my pension money in same company, it was easy to transfer, I'll see benefits of pension when I start getting my money back 😀",transfer##Fund Management##easy##positive,Correct
"I can't see the difference between pension companies, all I wanted is to have all my pension money in current company I'm paying to 😀
 
 I'm not frustrated about pension system, all I said is I want to keep all my pension money in same company, it was easy to transfer, I'll see benefits of pension when I start getting my money back 😀",difference between pension companies##Fund Management##can't see##negative,Hallucination
"I can't see the difference between pension companies, all I wanted is to have all my pension money in current company I'm paying to 😀
 
 I'm not frustrated about pension system, all I said is I want to keep all my pension money in same company, it was easy to transfer, I'll see benefits of pension when I start getting my money back 😀",pension system##Trust & Reliability##not frustrated##negative,Hallucination
"I can't see the difference between pension companies, all I wanted is to have all my pension money in current company I'm paying to 😀
 
 I'm not frustrated about pension system, all I said is I want to keep all my pension money in same company, it was easy to transfer, I'll see benefits of pension when I start getting my money back 😀",benefits of pension##Fund Management##see##positive,Hallucination
"Very user friendly, easy to understand steps to continue contributing after leaving employer. This gives me peace of mind to know I am building a pension pot no matter how big or small for my retirement. Prompt replies to questions are quick and helpful.",steps##Process & Onboarding##user friendly##positive,Hallucination
"Very user friendly, easy to understand steps to continue contributing after leaving employer. This gives me peace of mind to know I am building a pension pot no matter how big or small for my retirement. Prompt replies to questions are quick and helpful.",steps##Process & Onboarding##easy to understand##positive,Hallucination
"Very user friendly, easy to understand steps to continue contributing after leaving employer. This gives me peace of mind to know I am building a pension pot no matter how big or small for my retirement. Prompt replies to questions are quick and helpful.",peace of mind##Transparency & Communication##given##positive,Hallucination
"Very user friendly, easy to understand steps to continue contributing after leaving employer. This gives me peace of mind to know I am building a pension pot no matter how big or small for my retirement. Prompt replies to questions are quick and helpful.",replies##Customer Support##quick and helpful##positive,Wrong Aspect/Opinion
"Very user friendly, easy to understand steps to continue contributing after leaving employer. This gives me peace of mind to know I am building a pension pot no matter how big or small for my retirement. Prompt replies to questions are quick and helpful.",continue contributing##Process & Onboarding##easy to understand steps##positive,Undergeneration
"Very user friendly, easy to understand steps to continue contributing after leaving employer. This gives me peace of mind to know I am building a pension pot no matter how big or small for my retirement. Prompt replies to questions are quick and helpful.",usability (implicit)##Website & Usability##very user friendly##positive,Undergeneration
"Very user friendly, easy to understand steps to continue contributing after leaving employer. This gives me peace of mind to know I am building a pension pot no matter how big or small for my retirement. Prompt replies to questions are quick and helpful.",Prompt replies##Customer Support##quick and helpful##positive,Undergeneration
It was very easy to transfer my pension into nest and it didn't take long either about 3 weeks and it was all done and dusted.,transfer my pension##Fund Management##very easy##positive,Hallucination
It was very easy to transfer my pension into nest and it didn't take long either about 3 weeks and it was all done and dusted.,transfer my pension##Fund Management##didn't take long##positive,Hallucination
It was very easy to transfer my pension into nest and it didn't take long either about 3 weeks and it was all done and dusted.,it##Fund Management##completed and dusted##positive,Hallucination
It was very easy to transfer my pension into nest and it didn't take long either about 3 weeks and it was all done and dusted.,"transfer my pension into nest##Process & Onboarding##very easy, didn't take long##positive",Undergeneration
"Thanks to the team for sorting my pension transfer, with pensions being a minefield ,it took a lot of worry away knowing my pension transfer was In safe hands",team##Customer Support##helping##positive,Hallucination
"Thanks to the team for sorting my pension transfer, with pensions being a minefield ,it took a lot of worry away knowing my pension transfer was In safe hands",pension transfer##Fund Management##safe hands##positive,Hallucination
"Thanks to the team for sorting my pension transfer, with pensions being a minefield ,it took a lot of worry away knowing my pension transfer was In safe hands",pension transfer##Customer Support##Thanks to the team for sorting##positive,Undergeneration
"Thanks to the team for sorting my pension transfer, with pensions being a minefield ,it took a lot of worry away knowing my pension transfer was In safe hands","pension transfer##Trust & Reliability##took a lot of worry ahead, was in safe hands##positive",Undergeneration
"Nest is safe and reliable, I made a decision for personal contribution monthly since 2018, I am been updated ever since about my savings.
 Due to their transparency and continuous update, I decided to top up increase for my savings.
 This gives me a safe feelings in my retirement, I know I wouldn't be let down when I get older.",Nest##Trust & Reliability##safe and reliable##positive,Correct
"Nest is safe and reliable, I made a decision for personal contribution monthly since 2018, I am been updated ever since about my savings.
 Due to their transparency and continuous update, I decided to top up increase for my savings.
 This gives me a safe feelings in my retirement, I know I wouldn't be let down when I get older.",personal contribution monthly##Transparency & Communication##updated ever since##positive,Hallucination
"Nest is safe and reliable, I made a decision for personal contribution monthly since 2018, I am been updated ever since about my savings.
 Due to their transparency and continuous update, I decided to top up increase for my savings.
 This gives me a safe feelings in my retirement, I know I wouldn't be let down when I get older.",transparency##Transparency & Communication##transparency and continuous update##positive,Hallucination
"Nest is safe and reliable, I made a decision for personal contribution monthly since 2018, I am been updated ever since about my savings.
 Due to their transparency and continuous update, I decided to top up increase for my savings.
 This gives me a safe feelings in my retirement, I know I wouldn't be let down when I get older.",top up increase##Fund Management##safe feelings##positive,Hallucination
"Nest is safe and reliable, I made a decision for personal contribution monthly since 2018, I am been updated ever since about my savings.
 Due to their transparency and continuous update, I decided to top up increase for my savings.
 This gives me a safe feelings in my retirement, I know I wouldn't be let down when I get older.","my savings##Transparency & Communication##been updated ever since, transparency, continuous update##positive",Undergeneration
"Nest is safe and reliable, I made a decision for personal contribution monthly since 2018, I am been updated ever since about my savings.
 Due to their transparency and continuous update, I decided to top up increase for my savings.
 This gives me a safe feelings in my retirement, I know I wouldn't be let down when I get older.",my retirement##Trust & Reliability##a safe feeling##positive,Undergeneration
"The whole process to transfer from my old pension was at first easy,gor me it took far to long to see funds in my Nest account in total 10 weeks. Apart from that everything was spot on.",process to transfer##Process & Onboarding##at first easy##positive,Hallucination
"The whole process to transfer from my old pension was at first easy,gor me it took far to long to see funds in my Nest account in total 10 weeks. Apart from that everything was spot on.",funds in my Nest account##Fund Management##far to long##positive,Hallucination
"The whole process to transfer from my old pension was at first easy,gor me it took far to long to see funds in my Nest account in total 10 weeks. Apart from that everything was spot on.",everything##Fund Management##spot on##positive,Hallucination
"The whole process to transfer from my old pension was at first easy,gor me it took far to long to see funds in my Nest account in total 10 weeks. Apart from that everything was spot on.","see the funds##Fund Management##far too long, 10 weeks##negative",Undergeneration
"The whole process to transfer from my old pension was at first easy,gor me it took far to long to see funds in my Nest account in total 10 weeks. Apart from that everything was spot on.","process to transfer##Fund Management##at first easy, everything was spot on##positive",Undergeneration
"My wife has a very small pension to be taken as a small pot. The website just didn't work so she's been trying to get the small amount back on the phone. She's been promised the money will be paid out three times now, filled in forms and sent her marriage and birth certificates off twice. The calls are always answered by someone with a difficult to understand accent on a faint crackly line. The person always says this isn't my department but I'll try to help and then they don't and we go back round the merry go round again...
 Utter, utter frustrating crap.
 
 You might be happy with them handling your pension but woe betide you if you actually want YOUR money out.
 
 This process was started in October 2024. It's now late December and they've told us it should happen in the next 15 days for the third time. I'm initiating court action now to be served Monday January 20.
 
 I will post the result on our youtube channel.",website##Website & Usability##didn't work##negative,Hallucination
"My wife has a very small pension to be taken as a small pot. The website just didn't work so she's been trying to get the small amount back on the phone. She's been promised the money will be paid out three times now, filled in forms and sent her marriage and birth certificates off twice. The calls are always answered by someone with a difficult to understand accent on a faint crackly line. The person always says this isn't my department but I'll try to help and then they don't and we go back round the merry go round again...
 Utter, utter frustrating crap.
 
 You might be happy with them handling your pension but woe betide you if you actually want YOUR money out.
 
 This process was started in October 2024. It's now late December and they've told us it should happen in the next 15 days for the third time. I'm initiating court action now to be served Monday January 20.
 
 I will post the result on our youtube channel.",money will be paid out##Fund Management##paid out three times##negative,Hallucination
"My wife has a very small pension to be taken as a small pot. The website just didn't work so she's been trying to get the small amount back on the phone. She's been promised the money will be paid out three times now, filled in forms and sent her marriage and birth certificates off twice. The calls are always answered by someone with a difficult to understand accent on a faint crackly line. The person always says this isn't my department but I'll try to help and then they don't and we go back round the merry go round again...
 Utter, utter frustrating crap.
 
 You might be happy with them handling your pension but woe betide you if you actually want YOUR money out.
 
 This process was started in October 2024. It's now late December and they've told us it should happen in the next 15 days for the third time. I'm initiating court action now to be served Monday January 20.
 
 I will post the result on our youtube channel.",forms##Process & Onboarding##filled##negative,Hallucination
"My wife has a very small pension to be taken as a small pot. The website just didn't work so she's been trying to get the small amount back on the phone. She's been promised the money will be paid out three times now, filled in forms and sent her marriage and birth certificates off twice. The calls are always answered by someone with a difficult to understand accent on a faint crackly line. The person always says this isn't my department but I'll try to help and then they don't and we go back round the merry go round again...
 Utter, utter frustrating crap.
 
 You might be happy with them handling your pension but woe betide you if you actually want YOUR money out.
 
 This process was started in October 2024. It's now late December and they've told us it should happen in the next 15 days for the third time. I'm initiating court action now to be served Monday January 20.
 
 I will post the result on our youtube channel.",calls##Customer Support##difficult to understand##negative,Hallucination
"My wife has a very small pension to be taken as a small pot. The website just didn't work so she's been trying to get the small amount back on the phone. She's been promised the money will be paid out three times now, filled in forms and sent her marriage and birth certificates off twice. The calls are always answered by someone with a difficult to understand accent on a faint crackly line. The person always says this isn't my department but I'll try to help and then they don't and we go back round the merry go round again...
 Utter, utter frustrating crap.
 
 You might be happy with them handling your pension but woe betide you if you actually want YOUR money out.
 
 This process was started in October 2024. It's now late December and they've told us it should happen in the next 15 days for the third time. I'm initiating court action now to be served Monday January 20.
 
 I will post the result on our youtube channel.",accent##Customer Support##hard crackly line##negative,Hallucination
"My wife has a very small pension to be taken as a small pot. The website just didn't work so she's been trying to get the small amount back on the phone. She's been promised the money will be paid out three times now, filled in forms and sent her marriage and birth certificates off twice. The calls are always answered by someone with a difficult to understand accent on a faint crackly line. The person always says this isn't my department but I'll try to help and then they don't and we go back round the merry go round again...
 Utter, utter frustrating crap.
 
 You might be happy with them handling your pension but woe betide you if you actually want YOUR money out.
 
 This process was started in October 2024. It's now late December and they've told us it should happen in the next 15 days for the third time. I'm initiating court action now to be served Monday January 20.
 
 I will post the result on our youtube channel.",department##Customer Support##don't try to help##negative,Hallucination
"My wife has a very small pension to be taken as a small pot. The website just didn't work so she's been trying to get the small amount back on the phone. She's been promised the money will be paid out three times now, filled in forms and sent her marriage and birth certificates off twice. The calls are always answered by someone with a difficult to understand accent on a faint crackly line. The person always says this isn't my department but I'll try to help and then they don't and we go back round the merry go round again...
 Utter, utter frustrating crap.
 
 You might be happy with them handling your pension but woe betide you if you actually want YOUR money out.
 
 This process was started in October 2024. It's now late December and they've told us it should happen in the next 15 days for the third time. I'm initiating court action now to be served Monday January 20.
 
 I will post the result on our youtube channel.",process##Process & Onboarding##woe betide you##negative,Hallucination
"My wife has a very small pension to be taken as a small pot. The website just didn't work so she's been trying to get the small amount back on the phone. She's been promised the money will be paid out three times now, filled in forms and sent her marriage and birth certificates off twice. The calls are always answered by someone with a difficult to understand accent on a faint crackly line. The person always says this isn't my department but I'll try to help and then they don't and we go back round the merry go round again...
 Utter, utter frustrating crap.
 
 You might be happy with them handling your pension but woe betide you if you actually want YOUR money out.
 
 This process was started in October 2024. It's now late December and they've told us it should happen in the next 15 days for the third time. I'm initiating court action now to be served Monday January 20.
 
 I will post the result on our youtube channel.",process##Process & Onboarding##initiated##negative,Hallucination
"My wife has a very small pension to be taken as a small pot. The website just didn't work so she's been trying to get the small amount back on the phone. She's been promised the money will be paid out three times now, filled in forms and sent her marriage and birth certificates off twice. The calls are always answered by someone with a difficult to understand accent on a faint crackly line. The person always says this isn't my department but I'll try to help and then they don't and we go back round the merry go round again...
 Utter, utter frustrating crap.
 
 You might be happy with them handling your pension but woe betide you if you actually want YOUR money out.
 
 This process was started in October 2024. It's now late December and they've told us it should happen in the next 15 days for the third time. I'm initiating court action now to be served Monday January 20.
 
 I will post the result on our youtube channel.",court action##Process & Onboarding##finally##negative,Hallucination
"My wife has a very small pension to be taken as a small pot. The website just didn't work so she's been trying to get the small amount back on the phone. She's been promised the money will be paid out three times now, filled in forms and sent her marriage and birth certificates off twice. The calls are always answered by someone with a difficult to understand accent on a faint crackly line. The person always says this isn't my department but I'll try to help and then they don't and we go back round the merry go round again...
 Utter, utter frustrating crap.
 
 You might be happy with them handling your pension but woe betide you if you actually want YOUR money out.
 
 This process was started in October 2024. It's now late December and they've told us it should happen in the next 15 days for the third time. I'm initiating court action now to be served Monday January 20.
 
 I will post the result on our youtube channel.","customer support (implicit)##Customer Support##Utter, utter frustrating crap.##negative",Undergeneration
"My wife has a very small pension to be taken as a small pot. The website just didn't work so she's been trying to get the small amount back on the phone. She's been promised the money will be paid out three times now, filled in forms and sent her marriage and birth certificates off twice. The calls are always answered by someone with a difficult to understand accent on a faint crackly line. The person always says this isn't my department but I'll try to help and then they don't and we go back round the merry go round again...
 Utter, utter frustrating crap.
 
 You might be happy with them handling your pension but woe betide you if you actually want YOUR money out.
 
 This process was started in October 2024. It's now late December and they've told us it should happen in the next 15 days for the third time. I'm initiating court action now to be served Monday January 20.
 
 I will post the result on our youtube channel.",The calls##Customer Support##are always answered by someone with a difficult to understand accent on a faint crackly line##negative,Undergeneration
"My wife has a very small pension to be taken as a small pot. The website just didn't work so she's been trying to get the small amount back on the phone. She's been promised the money will be paid out three times now, filled in forms and sent her marriage and birth certificates off twice. The calls are always answered by someone with a difficult to understand accent on a faint crackly line. The person always says this isn't my department but I'll try to help and then they don't and we go back round the merry go round again...
 Utter, utter frustrating crap.
 
 You might be happy with them handling your pension but woe betide you if you actually want YOUR money out.
 
 This process was started in October 2024. It's now late December and they've told us it should happen in the next 15 days for the third time. I'm initiating court action now to be served Monday January 20.
 
 I will post the result on our youtube channel.",trust (implicit)##Trust & Reliability##initiating court action##negative,Undergeneration
"My wife has a very small pension to be taken as a small pot. The website just didn't work so she's been trying to get the small amount back on the phone. She's been promised the money will be paid out three times now, filled in forms and sent her marriage and birth certificates off twice. The calls are always answered by someone with a difficult to understand accent on a faint crackly line. The person always says this isn't my department but I'll try to help and then they don't and we go back round the merry go round again...
 Utter, utter frustrating crap.
 
 You might be happy with them handling your pension but woe betide you if you actually want YOUR money out.
 
 This process was started in October 2024. It's now late December and they've told us it should happen in the next 15 days for the third time. I'm initiating court action now to be served Monday January 20.
 
 I will post the result on our youtube channel.",The website##Website & Usability##just didn't work##negative,Undergeneration
I know my pension is safe and my children will have something to hold on to or me if I retire I will alright financially,pension##Fund Management##safe##positive,Wrong Category
I know my pension is safe and my children will have something to hold on to or me if I retire I will alright financially,children##Trust & Reliability##will have something to hold on to##positive,Hallucination
I know my pension is safe and my children will have something to hold on to or me if I retire I will alright financially,financially##Fund Management##alright##positive,Hallucination
I know my pension is safe and my children will have something to hold on to or me if I retire I will alright financially,pension##Trust & Reliability##safe##positive,Undergeneration
I know my pension is safe and my children will have something to hold on to or me if I retire I will alright financially,I will be##Trust & Reliability##alright financially##positive,Undergeneration
Used online service to transfer money. Straight forward quick and easy process and kept updated throughout,online service##Website & Usability##used##positive,Wrong Aspect/Opinion
Used online service to transfer money. Straight forward quick and easy process and kept updated throughout,process##Process & Onboarding##quick and easy##positive,Hallucination
Used online service to transfer money. Straight forward quick and easy process and kept updated throughout,updated##Transparency & Communication##kept updated##positive,Hallucination
Used online service to transfer money. Straight forward quick and easy process and kept updated throughout,transfer money##Transparency & Communication##kept updates throughout##positive,Undergeneration
Used online service to transfer money. Straight forward quick and easy process and kept updated throughout,online service##Website & Usability##straight forward quick and easy##positive,Undergeneration
"Hassle free, easy to log-in. I called to update my contributions, it was so easy and the person I spoke to was super helpful and friendly.",log-in##Account & Access##easy##positive,Wrong Aspect/Opinion
"Hassle free, easy to log-in. I called to update my contributions, it was so easy and the person I spoke to was super helpful and friendly.",contributions##Fund Management##easy##positive,Hallucination
"Hassle free, easy to log-in. I called to update my contributions, it was so easy and the person I spoke to was super helpful and friendly.",person##Customer Support##super helpful and friendly##positive,Wrong Aspect/Opinion
"Hassle free, easy to log-in. I called to update my contributions, it was so easy and the person I spoke to was super helpful and friendly.",the person I spoke to##Customer Support##super helpful and friendly##positive,Undergeneration
"Hassle free, easy to log-in. I called to update my contributions, it was so easy and the person I spoke to was super helpful and friendly.",update my contributions##Fund Management##so easy##positive,Undergeneration
"Hassle free, easy to log-in. I called to update my contributions, it was so easy and the person I spoke to was super helpful and friendly.","log-in##Account & Access##Hassle free, easy##positive",Undergeneration
Amazingly easy to transfer other pensions into my nest account. Found the whole thing so smooth.,transfer other pensions##Fund Management##amazingly easy##positive,Wrong Aspect/Opinion
Amazingly easy to transfer other pensions into my nest account. Found the whole thing so smooth.,process##Process & Onboarding##smooth##positive,Hallucination
Amazingly easy to transfer other pensions into my nest account. Found the whole thing so smooth.,transfer other pensions##Fund Management##Amazingly easy##positive,Undergeneration
Amazingly easy to transfer other pensions into my nest account. Found the whole thing so smooth.,the whole thing##Process & Onboarding##so smooth##positive,Undergeneration
"Unbelievably simple, Nest Pensions did everything, so no hassle and kept me informed throughout.",Nest Pensions##Process & Onboarding##unbelievably simple##positive,Hallucination
"Unbelievably simple, Nest Pensions did everything, so no hassle and kept me informed throughout.",Nest Pensions##Transparency & Communication##no hassle##positive,Hallucination
"Unbelievably simple, Nest Pensions did everything, so no hassle and kept me informed throughout.",Nest Pensions##Transparency & Communication##kept me informed throughout##positive,Hallucination
"Unbelievably simple, Nest Pensions did everything, so no hassle and kept me informed throughout.",Process (implicit)##Process & Onboarding##kept me informed throughout##positive,Undergeneration
"Unbelievably simple, Nest Pensions did everything, so no hassle and kept me informed throughout.","Onboarding (implicit)##Process & Onboarding##Unbelievably simple, so no hassle##positive",Undergeneration
"They make every excuse to not transfer your funds, the money you earned. I've been trying to transfer my funds for over a year and there is always a new hoop to jump through. I've spoken to so many people and messaged and they always say the funds will be transferred and then they have another excuse. Use Pension Bee or Standard Life, they actually release your funds to you",excuse##Transparency & Communication##make every excuse##negative,Hallucination
"They make every excuse to not transfer your funds, the money you earned. I've been trying to transfer my funds for over a year and there is always a new hoop to jump through. I've spoken to so many people and messaged and they always say the funds will be transferred and then they have another excuse. Use Pension Bee or Standard Life, they actually release your funds to you",funds##Fund Management##remove##negative,Hallucination
"They make every excuse to not transfer your funds, the money you earned. I've been trying to transfer my funds for over a year and there is always a new hoop to jump through. I've spoken to so many people and messaged and they always say the funds will be transferred and then they have another excuse. Use Pension Bee or Standard Life, they actually release your funds to you",I've spoken to##Transparency & Communication##so many people##negative,Undergeneration
"They make every excuse to not transfer your funds, the money you earned. I've been trying to transfer my funds for over a year and there is always a new hoop to jump through. I've spoken to so many people and messaged and they always say the funds will be transferred and then they have another excuse. Use Pension Bee or Standard Life, they actually release your funds to you","transfer my funds##Fund Management##there is always a new hoop, they have another excuse##negative",Undergeneration
The process to transfer into my Nest pension from older pension was so easy and hassle free,process to transfer##Process & Onboarding##easy and hassle free##positive,Wrong Aspect/Opinion
The process to transfer into my Nest pension from older pension was so easy and hassle free,process to transfer##Process & Onboarding##so easy and hassle free##positive,Undergeneration
"Excellent pension provider,I've paid into nest for 10 years now and am always able to see how much I've saved towards my retirement it's also been easy to transfer other pensions into my nest account",transfer other pensions##Fund Management##easy##positive,Correct
"Excellent pension provider,I've paid into nest for 10 years now and am always able to see how much I've saved towards my retirement it's also been easy to transfer other pensions into my nest account",pension provider##Fund Management##Excellent##positive,Hallucination
"Excellent pension provider,I've paid into nest for 10 years now and am always able to see how much I've saved towards my retirement it's also been easy to transfer other pensions into my nest account","pension provider##Trust & Reliability##excellent, for 10 years##positive",Undergeneration
"Excellent pension provider,I've paid into nest for 10 years now and am always able to see how much I've saved towards my retirement it's also been easy to transfer other pensions into my nest account",able to see how much I've saved##Website & Usability##always##positive,Undergeneration
Always able to log in to the site and any queries are answered as quickly and accurately as possible.,log in##Account & Access##really able##positive,Hallucination
Always able to log in to the site and any queries are answered as quickly and accurately as possible.,queries##Customer Support##answered as quickly and accurately as possible##positive,Wrong Aspect/Opinion
Always able to log in to the site and any queries are answered as quickly and accurately as possible.,the site##Website & Usability##Always able to log in##positive,Undergeneration
Always able to log in to the site and any queries are answered as quickly and accurately as possible.,queries##Customer Support##answered quickly and accurately##positive,Undergeneration
"The service to transfer my pension into nest was fantastic, I only gave the my details and they did the rest.",service##Fund Management##fantastic##positive,Wrong Aspect/Opinion
"The service to transfer my pension into nest was fantastic, I only gave the my details and they did the rest.",details##Account & Access##only gave##positive,Hallucination
"The service to transfer my pension into nest was fantastic, I only gave the my details and they did the rest.",Onboarding (implicit)##Process & Onboarding##they did the rest##positive,Undergeneration
"The service to transfer my pension into nest was fantastic, I only gave the my details and they did the rest.",transfer my pension##Fund Management##fantastic##positive,Undergeneration
Transferring can be very stressful nest took thst stress away from me a d dealt with it all,Transferring##Fund Management##stressful##positive,Hallucination
Transferring can be very stressful nest took thst stress away from me a d dealt with it all,nest##Fund Management##taken thst stress away##positive,Hallucination
Transferring can be very stressful nest took thst stress away from me a d dealt with it all,d##Customer Support##dealed with it all##positive,Hallucination
Transferring can be very stressful nest took thst stress away from me a d dealt with it all,"Transferring##Trust & Reliability##took that stress away, dealt with it all##positive",Undergeneration
Making the transfer of another pension was so easy and the funds moved across very quick,transfer of another pension##Fund Management##easy##positive,Hallucination
Making the transfer of another pension was so easy and the funds moved across very quick,funds##Fund Management##moved across very quick##positive,Wrong Aspect/Opinion
